zipcode,prctForeign,%Uninsured,%vehicle,%foodStamp,%poverty,urban/rural
10547,8.09542956708216,3.4579815038198634,3.200624512099922,34.633427154536925,7.3,1
10548,2.972336668628605,4.120070629782225,2.0710059171597637,38.11065332548558,8.6,1
10549,19.037265205049223,14.0303195023253,9.606829385595768,35.235851905538446,9.2,1
10549,19.037265205049223,14.0303195023253,9.606829385595768,35.235851905538446,9.2,0
10550,17.19790864938029,12.78696356060405,21.43287539166064,35.054008864354145,18.6,1
10552,12.135575942915393,9.046890927624872,10.041799363057324,41.42201834862385,11.5,1
10553,12.511785781633039,11.65378087874788,12.839910038846861,30.94474825570432,15.4,1
10560,4.198782961460446,7.099391480730223,0.9783071033602722,35.172413793103445,4.7,1
10560,4.198782961460446,7.099391480730223,0.9783071033602722,35.172413793103445,4.7,1
10560,4.198782961460446,7.099391480730223,0.9783071033602722,35.172413793103445,4.7,0
10562,21.29469207749252,16.730193731296268,12.3498594428827,31.645928492676013,11.0,1
10562,21.29469207749252,16.730193731296268,12.3498594428827,31.645928492676013,11.0,0
10566,19.960795762605834,13.84243233098386,8.524480774042873,38.286691412603744,12.4,1
10566,19.960795762605834,13.84243233098386,8.524480774042873,38.286691412603744,12.4,0
10567,4.861514623281038,4.294983536703468,0.9364820846905538,33.527019174898314,5.1,1
10567,4.861514623281038,4.294983536703468,0.9364820846905538,33.527019174898314,5.1,0
10570,4.187875983341046,3.8948017892950793,1.495581237253569,31.7291377448712,1.9,1
10570,4.187875983341046,3.8948017892950793,1.495581237253569,31.7291377448712,1.9,0
10573,26.56963909851635,20.491298321269056,12.743025114743952,32.18081010318805,11.7,1
10573,26.56963909851635,20.491298321269056,12.743025114743952,32.18081010318805,11.7,1
10573,26.56963909851635,20.491298321269056,12.743025114743952,32.18081010318805,11.7,0
10576,3.5670356703567037,2.173021730217302,0.4608294930875576,38.37638376383764,2.7,1
10576,3.5670356703567037,2.173021730217302,0.4608294930875576,38.37638376383764,2.7,1
10576,3.5670356703567037,2.173021730217302,0.4608294930875576,38.37638376383764,2.7,1
10576,3.5670356703567037,2.173021730217302,0.4608294930875576,38.37638376383764,2.7,0
10577,9.357713583282115,5.055316533497233,5.6705670567056705,12.799631223110019,16.6,1
10577,9.357713583282115,5.055316533497233,5.6705670567056705,12.799631223110019,16.6,1
10577,9.357713583282115,5.055316533497233,5.6705670567056705,12.799631223110019,16.6,0
10578,14.116251482799525,10.083036773428232,0.0,36.5361803084223,2.7,1
10578,14.116251482799525,10.083036773428232,0.0,36.5361803084223,2.7,0
10579,2.5005297732570457,3.517694426785336,1.892066222317781,33.64060182242,5.5,1
10579,2.5005297732570457,3.517694426785336,1.892066222317781,33.64060182242,5.5,0
10580,7.290098436595252,2.3335263462652,2.051963389430174,33.566878980891715,3.4,1
10580,7.290098436595252,2.3335263462652,2.051963389430174,33.566878980891715,3.4,1
10580,7.290098436595252,2.3335263462652,2.051963389430174,33.566878980891715,3.4,0
10583,9.132670894292705,2.0022968991860988,2.784906896740021,34.206321466020874,3.6,1
10588,2.7292576419213974,4.912663755458515,0.0,38.901018922852984,0.1,1
10589,2.481308917542529,2.3621194062195254,1.7618641659562375,41.05536894571459,3.0,1
10589,2.481308917542529,2.3621194062195254,1.7618641659562375,41.05536894571459,3.0,0
10590,2.3497188986593627,4.209312382874442,0.18028846153846154,35.721493440968715,2.6,1
10590,2.3497188986593627,4.209312382874442,0.18028846153846154,35.721493440968715,2.6,0
10591,15.555270582200563,9.11344789262204,9.694377617392853,37.74472086859878,11.2,1
10591,15.555270582200563,9.11344789262204,9.694377617392853,37.74472086859878,11.2,0
10594,2.4231678486997636,3.5066981875492518,1.5719467956469164,30.260047281323878,3.8,1
10595,9.0688357411679,4.467645987616851,3.7092882991556095,27.643559548379265,11.7,1
10595,9.0688357411679,4.467645987616851,3.7092882991556095,27.643559548379265,11.7,0
10596,8.280254777070063,8.222350897510132,6.016042780748663,31.615518239722064,6.3,1
10597,0.0,0.0,0.0,33.62218370883882,0.0,0
10598,3.496218929092204,2.370375394214792,1.3943950786056047,35.063922140459155,2.3,1
10598,3.496218929092204,2.370375394214792,1.3943950786056047,35.063922140459155,2.3,0
10601,19.619758659605868,11.112075701015712,20.34501155966566,45.09940098966924,20.2,1
10603,12.301336852372483,8.1760284583166,5.895552835577315,38.74576854667508,6.7,1
10604,15.117008876535461,9.226217161301891,3.004829189769272,34.492961535013,9.5,1
10604,15.117008876535461,9.226217161301891,3.004829189769272,34.492961535013,9.5,1
10604,15.117008876535461,9.226217161301891,3.004829189769272,34.492961535013,9.5,0
10605,11.923297080709789,8.368631940469376,6.142098273572377,37.87063537492845,8.0,1
10605,11.923297080709789,8.368631940469376,6.142098273572377,37.87063537492845,8.0,0
10606,28.817169069462643,20.9043250327654,13.100483610961849,31.252730449978156,10.7,1
10607,12.180429033205995,10.020570085218925,1.2045037968054464,32.50073464590068,6.4,1
10701,15.75771995717272,12.776805288829218,23.33756189384949,36.56294080658044,26.4,1
10703,13.237321165454633,10.737202338514187,12.153344208809136,33.48543181710157,15.5,1
10704,10.929182879377432,8.709727626459143,8.886581567214316,38.032684824902724,8.6,1
10705,19.86197815060476,16.572376121732347,25.887044748108618,33.16669918064768,22.7,1
10706,5.503646308113035,3.0765724703737467,2.8828828828828827,37.71649954421149,4.6,1
10707,8.065931922364186,6.671218180044865,4.286589099816289,38.95445235540818,3.8,1
10708,6.433368681512902,4.546659597030753,5.89773387565369,40.756451042771296,4.5,1
10709,8.745874587458747,4.411441144114411,3.2265003226500326,39.14191419141914,1.7,1
10710,7.698717484240272,5.633649735526411,5.307698017964516,36.93572929497863,6.9,1
10801,20.39664088817194,14.85742752763676,14.616278482291719,34.039474308487925,15.9,1
10803,6.926751592356688,4.036624203821656,5.110220440881764,30.90764331210191,3.3,1
10804,3.6422030886975536,1.154844881782151,0.254957507082153,34.112341123411234,2.8,1
10805,15.559638977463115,9.879479003404853,10.320861809336268,40.72312597957088,9.5,1
10805,15.559638977463115,9.879479003404853,10.320861809336268,40.72312597957088,9.5,0
10901,5.309069660670311,4.9209065486873405,1.0460992907801419,36.3537710255019,6.5,1
10901,5.309069660670311,4.9209065486873405,1.0460992907801419,36.3537710255019,6.5,0
10910,0.0,0.0,0.0,100.0,0.0,0
10911,,,,,-666666666.0,0
10913,2.079630287948809,6.718805545680769,0.0,28.492712406683257,2.6,1
10914,0.0,3.5164835164835164,0.0,29.450549450549453,0.0,0
10915,0.0,0.0,,0.0,0.0,0
10916,2.6963657678780772,2.8370457209847597,0.0,28.675263774912075,4.4,1
10916,2.6963657678780772,2.8370457209847597,0.0,28.675263774912075,4.4,0
10917,9.840674789128398,4.826616682286786,0.0,30.178069353327086,6.8,1
10917,9.840674789128398,4.826616682286786,0.0,30.178069353327086,6.8,0
