,TeenBirthRate,ZipCode,TotalBirths2012-2014,PrematureBirth,LowBirthWeight
515,21.5,14560,56.0,8.9,8.9
516,19.6,14836,29.0,6.9,3.4
517,11.1,14846,16.0,6.3,6.3
519,13.6,13030,104.0,6.7,9.6
520,21.3,13032,384.0,9.1,6.0
521,4.5,13035,159.0,7.0,5.0
522,14.2,13037,275.0,6.9,4.7
523,20.2,13052,53.0,13.2,5.7
524,7.1,13061,26.0,0.0,0.0
525,38.1,13072,22.0,0.0,4.5
526,11.0,13082,107.0,13.1,10.3
527,6.8,13122,37.0,14.7,5.4
528,6.7,13310,26.0,23.1,19.2
529,19.8,13332,107.0,9.5,7.5
530,5.6,13334,56.0,7.4,8.9
531,1.8,13346,96.0,11.5,4.2
532,,13355,27.0,0.0,0.0
533,44.4,13402,47.0,6.4,6.4
534,4.7,13408,80.0,10.0,5.0
535,18.5,13409,83.0,9.6,6.0
536,,13418,12.0,16.7,16.7
537,30.1,13421,466.0,8.8,6.7
538,38.1,13485,75.0,13.5,6.7
540,4.3,14420,421.0,6.9,4.3
541,4.7,14428,224.0,6.7,3.6
542,6.9,14445,287.0,7.7,5.6
543,2.7,14450,1082.0,10.4,6.4
544,16.8,14464,225.0,13.8,10.7
545,3.2,14467,257.0,10.5,8.2
546,7.4,14468,477.0,10.3,6.9
547,2.1,14472,180.0,7.2,5.0
548,0.0,14506,19.0,26.3,10.5
549,7.1,14514,222.0,8.6,8.1
550,2.0,14526,565.0,8.8,6.5
551,0.3,14534,652.0,9.4,6.3
552,3.5,14543,71.0,5.6,4.2
553,7.1,14546,137.0,5.8,2.9
554,4.7,14559,473.0,8.9,6.3
555,6.6,14580,1390.0,9.3,5.8
556,7.3,14586,427.0,8.2,7.3
557,34.7,14604,44.0,13.6,11.4
558,60.6,14605,672.0,15.6,11.9
559,33.9,14606,1160.0,13.4,10.3
560,21.4,14607,315.0,7.3,7.6
561,72.2,14608,709.0,15.0,13.8
562,40.3,14609,2042.0,13.1,12.1
563,11.5,14610,410.0,7.3,4.1
564,56.6,14611,914.0,15.2,12.8
565,12.9,14612,1084.0,9.5,7.7
566,51.4,14613,822.0,11.8,11.6
567,51.3,14615,764.0,9.8,8.2
568,20.2,14616,1044.0,10.5,8.6
569,8.4,14617,728.0,8.4,4.9
570,0.7,14618,547.0,8.6,5.5
571,40.0,14619,671.0,11.9,10.7
572,26.6,14620,905.0,8.5,7.5
573,61.9,14621,1766.0,13.9,11.4
574,21.3,14622,364.0,9.6,5.8
575,3.6,14623,666.0,6.8,5.9
576,9.5,14624,1135.0,8.4,6.9
577,3.4,14625,292.0,8.2,5.5
578,12.1,14626,827.0,11.1,7.0
580,36.7,12010,973.0,9.8,6.2
581,13.4,12068,103.0,13.6,4.9
582,31.4,12070,38.0,15.8,18.4
583,18.3,12072,128.0,10.9,7.8
584,24.4,12086,41.0,17.1,12.2
585,0.0,12166,38.0,2.7,5.3
586,26.9,13317,119.0,10.1,5.0
587,25.5,13339,272.0,8.5,5.5
588,26.5,13428,78.0,3.8,0.0
589,20.1,13452,149.0,11.4,4.7
591,1.1,11001,786.0,7.6,6.2
592,7.3,11003,1360.0,11.3,8.7
593,2.2,11010,666.0,10.1,8.6
594,3.1,11020,109.0,5.5,6.4
595,2.0,11021,630.0,7.8,7.1
596,2.2,11023,344.0,9.0,4.7
597,1.1,11024,213.0,8.0,6.6
598,1.1,11030,415.0,12.3,5.3
599,2.0,11040,1055.0,8.4,8.4
600,3.5,11050,919.0,9.2,6.9
601,24.6,11096,371.0,13.3,7.3
602,5.0,11501,670.0,11.5,7.3
603,0.0,11507,177.0,8.0,4.5
604,0.0,11509,37.0,10.8,2.7
605,6.5,11510,981.0,13.7,9.2
606,4.3,11514,133.0,6.0,6.0
607,9.5,11516,390.0,5.7,6.2
608,4.0,11518,294.0,9.5,8.5
609,30.0,11520,1784.0,13.1,8.4
610,0.7,11530,751.0,9.9,6.9
611,17.1,11542,899.0,8.9,6.1
612,0.4,11545,256.0,9.4,5.1
613,0.0,11548,31.0,3.2,3.2
614,43.6,11550,3131.0,13.9,9.1
615,6.7,11552,775.0,12.0,7.9
616,33.0,11553,1219.0,15.1,12.5
617,3.5,11554,1083.0,9.0,7.7
618,2.3,11557,199.0,8.5,7.5
619,5.8,11558,254.0,15.7,12.6
